Nº,   Fecha,       (Lugar),         Partidos,      resultado,   Competición
178,02-01-1988,(Madrid)   ,R. Madrid - Barcelona,2-1,Cto. de Liga(16?)
179,30-04-1988,(Barcelona),Barcelona - R. Madrid,2-0,Cto. de Liga(35?)
180,22-10-1988,(Madrid)   ,R. Madrid - Barcelona,3-2,Cto. de Liga(8?)
181,01-04-1989,(Barcelona),Barcelona - R. Madrid,0-0,Cto. de Liga(27?)
182,21-09-1989,(Madrid)   ,R. Madrid - Barcelona,2-0,Super C. de Espa?a
183,29-09-1989,(Barcelona),Barcelona - R. Madrid,2-1,Super C. de Espa?a 
184,07-10-1989,(Barcelona),Barcelona - R. Madrid,3-1,Cto. de Liga(6?)
185,15-02-1990,(Madrid)   ,R. Madrid - Barcelona,3-2,Cto. de Liga(25?)
186,05-04-1990,(Valencia) ,Barcelona - R. Madrid,2-0,Copa del Rey  (F)
187,05-12-1990,(Barcelona),Barcelona - R. Madrid,0-1,Supercopa de Espa?a 
188,12-12-1990,(Madrid)   ,R. Madrid - Barcelona,4-1,Supercopa de Espa?a
189,19-01-1991,(Barcelona),Barcelona - R. Madrid,2-1,Cto. de Liga(19?)
190,01-05-1991,(Madrid)   ,R. Madrid - Barcelona,3-1,Trof.Desaf?o Canal+'
191,08-06-1991,(Madrid)   ,R. Madrid - Barcelona,1-0,Cto. de Liga(38?)
192,11-09-1991,(Barcelona),Barcelona - R. Madrid,1-1,Trof.Desaf?o Canal+'
193,19-10-1991,(Madrid)   ,R. Madrid - Barcelona,1-1,Cto. de Liga(6?)
194,07-03-1992,(Barcelona),Barcelona - R. Madrid,1-1,Cto. de Liga(25?)
195,05-09-1992,(Barcelona),Barcelona - R. Madrid,2-1,Cto. de Liga(1?)
196,30-01-1993,(Madrid)   ,R. Madrid - Barcelona,2-1,Cto. de Liga(20?)
197,09-06-1993,(Madrid)   ,R. Madrid - Barcelona,1-1,Copa del Rey(1/2)
198,16-06-1993,(Barcelona),Barcelona - R. Madrid,1-2,Copa del Rey(1/2)
199,02-12-1993,(Madrid)   ,R. Madrid - Barcelona,3-1,Supercopa de Espa?a
200,16-12-1993,(Barcelona),Barcelona - R. Madrid,1-1,Supercopa de Espa?a
201,08-01-1994,(Barcelona),Barcelona - R. Madrid,5-0,Cto. de Liga(18?)
202,07-05-1994,(Madrid)   ,R. Madrid - Barcelona,0-1,Cto. de Liga(37?)
203,07-01-1995,(Madrid)   ,R. Madrid - Barcelona,5-0,Cto. de Liga(16?)
204,25-05-1995,(Barcelona),Barcelona - R. Madrid,1-0,Cto. de Liga(35?)
205,30-09-1995,(Madrid)   ,R. Madrid - Barcelona,1-1,Cto. de Liga(5?)
206,10-02-1996,(Barcelona),Barcelona - R. Madrid,3-0,Cto. de Liga(26?)
207,07-12-1996,(Madrid)   ,R. Madrid - Barcelona,2-0,Cto. de Liga(16?)
208,30-01-1997,(Barcelona),Barcelona - R. Madrid,3-2,Copa del Rey(1/8)
209,06-02-1997,(Madrid)   ,R. Madrid - Barcelona,1-1,Copa del Rey(1/8)
210,10-05-1997,(Barcelona),Barcelona - R. Madrid,1-0,Cto. de Liga(37?)
211,20-08-1997,(Barcelona),Barcelona - R. Madrid,2-1,Supercopa de Espa?a 
212,23-08-1997,(Madrid)   ,R. Madrid - Barcelona,4-1,Supercopa de Espa?a 
213,01-11-1997,(Madrid)   ,R. Madrid - Barcelona,2-3,Cto. de Liga(9?)
214,07-03-1998,(Barcelona),Barcelona - R. Madrid,3-0,Cto. de Liga(28?)
215,19-09-1998,(Madrid)   ,R. Madrid - Barcelona,2-2,Cto. de Liga(3?)
216,14-02-1999,(Barcelona),Barcelona - R. Madrid,3-0,Cto. de Liga(22?)
217,26-10-1999,(Barcelona),Barcelona - R. Madrid,2-2,Cto. de Liga(7?)
